Thu Jan  8 23:07:50 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:50 2026 | 10.17.192.147 | NORMAL | Confidence=0.10 | Bytes=56
Thu Jan  8 23:07:50 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=98
Thu Jan  8 23:07:50 2026 | 10.17.192.147 | NORMAL | Confidence=0.10 | Bytes=56
Thu Jan  8 23:07:51 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=98
Thu Jan  8 23:07:51 2026 | 10.17.192.147 | NORMAL | Confidence=0.10 | Bytes=56
Thu Jan  8 23:07:51 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=98
Thu Jan  8 23:07:51 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:51 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:51 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:51 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:51 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:51 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:51 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=55
Thu Jan  8 23:07:51 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=55
Thu Jan  8 23:07:51 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=55
Thu Jan  8 23:07:51 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:51 2026 | 10.17.192.107 | NORMAL | Confidence=0.01 | Bytes=183
Thu Jan  8 23:07:52 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:52 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:52 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:52 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:52 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:52 2026 | 10.17.192.107 | NORMAL | Confidence=0.01 | Bytes=323
Thu Jan  8 23:07:52 2026 | 10.17.192.107 | NORMAL | Confidence=0.03 | Bytes=227
Thu Jan  8 23:07:52 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:52 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:52 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:52 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:52 2026 | 10.17.192.107 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:52 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:07:52 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:07:53 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:07:53 2026 | 10.17.192.147 | NORMAL | Confidence=0.01 | Bytes=162
Thu Jan  8 23:07:53 2026 | 50.112.204.220 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:07:53 2026 | 142.250.82.223 | NORMAL | Confidence=0.01 | Bytes=106
Thu Jan  8 23:07:53 2026 | 50.112.204.220 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:07:53 2026 | 50.112.204.220 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:07:53 2026 | 50.112.204.220 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:07:54 2026 | 50.112.204.220 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:07:54 2026 | 50.112.204.220 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:07:59 2026 | 10.17.192.147 | NORMAL | Confidence=0.01 | Bytes=105
Thu Jan  8 23:07:59 2026 | 4.224.92.204 | NORMAL | Confidence=0.00 | Bytes=94
Thu Jan  8 23:07:59 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:08:06 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:08:06 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:08:06 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:08:06 2026 | 10.17.192.107 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:08:06 2026 | 10.17.192.107 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:08:06 2026 | 10.17.192.107 | NORMAL | Confidence=0.00 | Bytes=66
Thu Jan  8 23:08:06 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:08:06 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:08:06 2026 | 10.17.192.147 | NORMAL | Confidence=0.06 | Bytes=54
Thu Jan  8 23:08:06 2026 | 10.17.192.147 | NORMAL | Confidence=0.10 | Bytes=56
Thu Jan  8 23:08:06 2026 | 10.17.192.147 | NORMAL | Confidence=0.00 | Bytes=98
